Inventario,Autore,Ambito culturale,Datazione,Titolo,Materiali,Immagine
3096/C,,manifattura di Savona,XVIII (?),scena mitologica,maiolica,http://93.62.170.226/foto/M0005537.jpg
3097/C,,manifattura di Savona,XVIII (?),Bacco,maiolica,http://93.62.170.226/foto/M0005538.jpg
3099/C,,manifattura di Savona,XVII,stemma con tre frecce - tre corone e tre stelle,maiolica,http://93.62.170.226/foto/M0005540.jpg
3100/C,,manifattura di Savona,XVIII (?),scena con tre personaggi maschili / paesaggi,maiolica,http://93.62.170.226/foto/M0005541.jpg
3101/C,,manifattura di Savona,XVII (?),Ercole incoronato,maiolica,http://93.62.170.226/foto/M0005542.jpg
3109/C,,manifattura di Castelli,post 1574 - post 1574,stemma del Cardinale Peretti,maiolica,http://93.62.170.226/foto/M0005550.jpg
3110/C,,manifattura di Castelli,post 1574 - post 1574,stemma del Cardinale Farnese,maiolica,http://93.62.170.226/foto/M0005551.jpg
3111/C,,manifattura di Castelli,XVI,stemma cardinalizio,maiolica,http://93.62.170.226/foto/M0005552.jpg
3116/C,,manifattura di Lodi,XVII,paesaggio con castello e montagne,maiolica,http://93.62.170.226/foto/M0005557.jpg
3118/C-1,,manifattura di Pavia,XVIII,,maiolica,http://93.62.170.226/foto/M0005559.jpg
3118/C-2,,manifattura di Pavia,XVIII,donna assisa con mappamondo e bacchetta,maiolica,http://93.62.170.226/foto/M0005560.jpg
3119/C,,manifattura di Pavia,XVII (?),,maiolica,http://93.62.170.226/foto/M0005561.jpg
3121/C,,manifattura di Pavia (secc. XVII-XVIII),XVII,Minerva e la Giustizia,maiolica,http://93.62.170.226/foto/M0005563.jpg
3122/C,,manifattura di Pavia,XVII,Ratto di Europa,maiolica,http://93.62.170.226/foto/M0005564.jpg
3123/C,,manifattura di Pavia,XVII/XVIII,uomo che trattiene cavalli,maiolica,http://93.62.170.226/foto/M0005565.jpg
3124/C,,manifattura di Pavia,XVII,Sant'Uberto,maiolica,http://93.62.170.226/foto/M0005566.jpg
3125/C,,manifattura di Pavia,XVII,paesaggio con monumento di putto,maiolica,http://93.62.170.226/foto/M0005567.jpg
3126/C,,manifattura Rampini - Pavia,XVII,paesaggio con monumento di personaggio femminile,maiolica,http://93.62.170.226/foto/M0005568.jpg
3128/C,,manifattura di Pavia,XVIII,paesaggio con personaggio maschile,maiolica,http://93.62.170.226/foto/M0005570.jpg
3133/C,,manifattura di Pavia,XVII/XVIII,due personaggi assisi sullo sfondo - mare - paesi con castelli,maiolica,http://93.62.170.226/foto/M0005576.jpg
3134/C-1,,manifattura Rampini - Pavia,XVII,paesaggio con montagne e ruderi di castello,maiolica,http://93.62.170.226/foto/M0005577.jpg
3134/C-2,,manifattura Rampini - Pavia,XVIII,paesaggio con montagne e ruderi di castello,maiolica,http://93.62.170.226/foto/M0005578.jpg
3135/C,,manifattura di Pavia (secc. XVII-XVIII),XVII,guerrieri presso ruderi di mulino,maiolica,http://93.62.170.226/foto/M0005579.jpg
3136/C,,fabbrica Manardi e Caffo - Angarano,XVIII,paesaggio con castello,maiolica,http://93.62.170.226/foto/M0005580.jpg
3138/C,,manifattura Rampini - Pavia,XVII/XVIII,personaggio mitologico femminile con edifici monumentali,maiolica,http://93.62.170.226/foto/M0005582.jpg
3141/C,,manifattura di Pavia,XVIII,paesaggio con architettura,maiolica,http://93.62.170.226/foto/M0005585.jpg
3144/C,,manifattura di Pavia,XVIII (?),,maiolica,http://93.62.170.226/foto/M0005588.jpg
3146/C,,fabbrica di Vinovo,XVIII,cani in lotta,porcellana,http://93.62.170.226/foto/M0005590.jpg
3147/C,,fabbrica di Vinovo,XVIII,cervo,porcellana,http://93.62.170.226/foto/M0005591.jpg
3152/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0005597.jpg
3155/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0005601.jpg
3155/C,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0005601A.jpg
3160/C,,fabbrica di Vinovo,XVIII,contadino,porcellana,http://93.62.170.226/foto/M0005606.jpg
3161/C,,fabbrica di Vinovo,1751 - 1772,spazzacamino,porcellana,http://93.62.170.226/foto/M0005607.jpg
3162/C,,fabbrica di Vinovo,XIX,Maria Vergine Assunta,porcellana,http://93.62.170.226/foto/M0005608.jpg
3163/C,,fabbrica di Vinovo,XVIII,contadino,porcellana,http://93.62.170.226/foto/M0005609.jpg
3165/C-1,,fabbrica di Vinovo,XVIII,bambino in costume,porcellana,http://93.62.170.226/foto/M0005611.jpg
3165/C-2,,fabbrica di Vinovo,XVIII,bambina in costume,porcellana,http://93.62.170.226/foto/M0005612.jpg
3166/C-2,,fabbrica di Vinovo,XVIII,venditore con bilancia,porcellana,http://93.62.170.226/foto/M0005614.jpg
3168/C,,fabbrica di Vinovo,1776 - 1779,,porcellana,http://93.62.170.226/foto/M0005616.jpg
3168/C,,Periodo Hannong (1776-1779),1776 - 1779,,porcellana,http://93.62.170.226/foto/M0005616.jpg
3169/C,,fabbrica di Vinovo,XVIII,fanciulla,porcellana,http://93.62.170.226/foto/M0005617.jpg
3171/C,,fabbrica di Vinovo,XVIII,giovinetta con colomba,porcellana,http://93.62.170.226/foto/M0005619.jpg
3172/C,,fabbrica di Vinovo,XVIII,donna corteggiata da giovanotto,porcellana,http://93.62.170.226/foto/M0005620.jpg
3173/C,,fabbrica di Vinovo,XVIII,ragazza con marmotta,porcellana,http://93.62.170.226/foto/M0005621.jpg
3174/C,,fabbrica di Vinovo,XVIII,contadina che strozza un volatile,porcellana,http://93.62.170.226/foto/M0005622.jpg
3176/C,,fabbrica di Vinovo,XVIII,Minerva,porcellana,http://93.62.170.226/foto/M0005624.jpg
3177/C,,fabbrica di Vinovo,XVIII,contadina con capretto,porcellana,http://93.62.170.226/foto/M0005625.jpg
3178/C,,fabbrica di Vinovo,XVIII,ragazzo accanto ad un porta brace,porcellana,http://93.62.170.226/foto/M0005626.jpg
3180/C,,fabbrica di Vinovo,XVIII,giovinetto e giovane,porcellana,http://93.62.170.226/foto/M0005628.jpg
3185/C,,fabbrica di Vinovo,XVIII,giovinetta e signora,porcellana,http://93.62.170.226/foto/M0005633.jpg
3187/C,,fabbrica di Vinovo,XVIII,uomo con corda,porcellana,http://93.62.170.226/foto/M0005635.jpg
3189/C,,fabbrica di Vinovo,XVIII,contadinello con falcetto,porcellana,http://93.62.170.226/foto/M0005637.jpg
3190/C-1,,manifattura Rossetti - Torino,XVIII,busto maschile,porcellana,http://93.62.170.226/foto/M0005638.jpg
3190/C-2,,manifattura Rossetti - Torino,XVIII,busto femminile,porcellana,http://93.62.170.226/foto/M0005639.jpg
3191/C,,manifattura di Vische,ca. 1765 - ca. 1765,chioccia con pulcini,porcellana,http://93.62.170.226/foto/M0005640.jpg
3192/C,,manifattura di Vische,XVIII,contadinella che dorme,porcellana,http://93.62.170.226/foto/M0005641.jpg
3193/C-1,,manifattura di Vische,XVIII,,porcellana,http://93.62.170.226/foto/M0005642.jpg
3193/C-2,,manifattura di Vische,XVIII,,porcellana,http://93.62.170.226/foto/M0005643.jpg
3194/C,Tamietti Carlo Camillo,fabbrica di Vinovo,1778 - 1778,Sant'Uberto,biscuit,http://93.62.170.226/foto/M0005644.jpg
3195/C,Tamietti Carlo Camillo,fabbrica di Vinovo,XVIII,allegoria sabauda / medaglione di Re Vittorio Amedeo II,biscuit,http://93.62.170.226/foto/M0005645.jpg
3196/C,,fabbrica di Vinovo,XVIII,iscrizioni,porcellana,http://93.62.170.226/foto/M0005646.jpg
3196/C,,Periodo Gioanetti (1780-1815),XVIII,iscrizioni,porcellana,http://93.62.170.226/foto/M0005646.jpg
3199/C-3,,fabbrica di Vinovo,XVIII,,porcellana,http://93.62.170.226/foto/M0005652.jpg
0001/D,,arte russa,XVIII/XIX,Tre Angeli / Presentazione al Tempio / Cristo al Limbo,olio su tavola - argento - smalto,http://93.62.170.226/foto/M0006002A.jpg
0004/D,,arte russa,XVIII,Madonna col Bambino,legno dipinto - smalto - argento,http://93.62.170.226/foto/M0006004.jpg
0008/D,Von  Mölk Joseph Adam,scuola austriaca,XVIII,Cristo deriso e incoronato di spine,olio su tela,http://93.62.170.226/foto/M0006008.jpg
0009/D,,pittore lombardo,XVII/XVIII,Storie della Maddalena,olio su tavola,http://93.62.170.226/foto/M0006009.jpg
0010/D,,pittore francese,XVII,Medea che assale Giasone,olio su tela,http://93.62.170.226/foto/M0006010.jpg
0010/D,,pittore bolognese,XVII,Medea che assale Giasone,olio su tela,http://93.62.170.226/foto/M0006010.jpg
0012/D,,pittore piemontese,XVIII/XIX,Carlo Emanuele IV,olio su tela,http://93.62.170.226/foto/M0006011.jpg
0013/D,,pittore piemontese,XVIII/XIX,Benedetto Maurizio Duca del Chiablese,olio su tela,http://93.62.170.226/foto/M0006012.jpg
0014/D,,pittore piemontese,XVIII/XIX,Carlo Felice,olio su tela,http://93.62.170.226/foto/M0006013.jpg
0015/D,,pittore piemontese,XVIII/XIX,Maurizio - Duca del Monferrato,olio su tela,http://93.62.170.226/foto/M0006014.jpg
0016/D,,pittore piemontese,XVIII/XIX,Giuseppe Placido Benedetto Conte di Moriana,olio su tela,http://93.62.170.226/foto/M0006015.jpg
0017/D,,pittore piemontese,XVIII/XIX,Maria Antonia di Spagna,olio su tela,http://93.62.170.226/foto/M0006016.jpg
0018/D,,pittore piemontese,XVIII/XIX,Maria Felicita di Savoia,olio su tela,http://93.62.170.226/foto/M0006017.jpg
0019/D,,pittore piemontese,XVIII/XIX,Vittorio Amedeo III,olio su tela,http://93.62.170.226/foto/M0006018.jpg
0020/D,,pittore piemontese,XVIII/XIX,Vittorio Emanuele I,olio su tela,http://93.62.170.226/foto/M0006019.jpg
0034/D,,pittore veneto,XV,angelo / San Romualdo,tempera su tavola,http://93.62.170.226/foto/M0006034.jpg
0035/D,,pittore ignoto,XVIII/XIX,ritratto di un componente della famiglia Boucheron,pastello su carta,http://93.62.170.226/foto/M0006035.jpg
0041/D,,pittore veneto,XV,angelo annunziante,tempera su tela,http://93.62.170.226/foto/M0006041.jpg
0062/D,,pittore austriaco,XVIII,Vergine immacolata e angeli,olio su tela,http://93.62.170.226/foto/M0006063.jpg
0065/D,,pittore piemontese,XV,antichi re di Francia,tempera su tavola,http://93.62.170.226/foto/M0006065A.jpg
0065/D,,pittore astigiano,XV,antichi re di Francia,tempera su tavola,http://93.62.170.226/foto/M0006065A.jpg
0067/D,,pittore lombardo,XVI,testa di uomo con elmo,tempera su marmo,http://93.62.170.226/foto/M0006067.jpg
0070/D,,pittore piemontese,XIX,Angelo Vacca,olio su tela,http://93.62.170.226/foto/M0006070.jpg
0072/D,,pittore emiliano,XVII,Martirio di S. Caterina di Alessandria,olio su tela,http://93.62.170.226/foto/M0006072.jpg
0093/D,,pittore francese,XVIII,laghetto di Villa Borghese,olio su tavola,http://93.62.170.226/foto/M0006093.jpg
0098/D,,pittore piemontese,XVII,Ambroise Bouton du Fai,olio su tela,http://93.62.170.226/foto/M0006098.jpg
0110/D,,pittore ignoto,XVII,Carlo Emanuele I,olio su tela,http://93.62.170.226/foto/M0006110.jpg
0113/D,,pittore ignoto,XVII,Vittorio Amedeo II,olio su tela,http://93.62.170.226/foto/M0006113.jpg
0123/D,,pittore lombardo,XVI,Ecce Homo tra angeli / San Francesco / Santa Chiara,olio su tavola,http://93.62.170.226/foto/M0006123.jpg
0136/D,,maniera di Giovanni Domenico Molinari,XVIII,Erminia a cavallo assiste ad un duello,olio su tela,http://93.62.170.226/foto/M0006136.jpg
0137/D,,maniera di Giovanni Domenico Molinari,XVIII,due guerrieri s'appressano ad un poeta coronato di lauro,olio su tela,http://93.62.170.226/foto/M0006137.jpg
0143/D,,pittore francese,XVII,ritratto di gentiluomo,olio su tela,http://93.62.170.226/foto/M0006143.jpg
0176/D,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: Clorinda morente - con Tancredi,olio su tela,http://93.62.170.226/foto/M0006176.jpg
0189/D,,pittore novarese,XV (?),due santi / testa di donatore,affresco staccato e riportato su tela,http://93.62.170.226/foto/M0006189.jpg
0191/D,,pittore piemontese,XV,Madonna col Bambino,affresco,http://93.62.170.226/foto/M0006191.jpg
0191/D,,pittore vercellese,XV,Madonna col Bambino,affresco,http://93.62.170.226/foto/M0006191.jpg
0204/D,,scuola olandese,XVIII,Due mercanti,olio su tavola,http://93.62.170.226/foto/M0006204.jpg
0210/D,,pittore piemontese,(?) 1761 - (?) 1761,M. Andrea Boucheron,olio su tela,http://93.62.170.226/foto/M0006210.jpg
0213/D,,pittore piemontese,1671 - 1671,Teresa di Maroles,olio su tela,http://93.62.170.226/foto/M0006213.jpg
0214/D,,pittore piemontese,XVIII/XIX,veduta della piazza San Giovanni di Torino,olio su tavola,http://93.62.170.226/foto/M0006214.jpg
0215/D,,pittore valsesiano,XV,Adorazione dei Magi,affresco,http://93.62.170.226/foto/M0006215.jpg
0218/D,,scuola francese,XVII,Mademoiselle Tilly,olio su tela,http://93.62.170.226/foto/M0006218.jpg
0227/D,,pittore veneto,XVIII,mercanti in costumi orientali / gentiluomo europeo / sfondo di mare,olio su tela,http://93.62.170.226/foto/M0006227.jpg
0228/D,,pittore francese,XIX,balaustra marmorea / stemma,olio su tela,http://93.62.170.226/foto/M0006228.jpg
0229/D,,pittore piemontese,XIX,interno del locale con avventori,olio su tela,http://93.62.170.226/foto/M0006229.jpg
0231/D,,pittore piemontese,XIX,venditore con una dama e con un gentiluomo,olio su tela,http://93.62.170.226/foto/M0006231.jpg
0233/D,,pittore piemontese,XV,La danza dei folli,tempera su tavola,http://93.62.170.226/foto/M0006233.jpg
0234/D,,pittore piemontese,XV,La danza dei folli,tempera su tavola,http://93.62.170.226/foto/M0006234.jpg
0235/D,,pittore piemontese,XV,La danza dei folli,tempera su tavola,http://93.62.170.226/foto/M0006235.jpg
0236/D,,pittore piemontese,XV,La danza dei folli,tempera su tavola,http://93.62.170.226/foto/M0006236.jpg
0237/D,,pittore piemontese,XV,La danza dei folli,tempera su tavola,http://93.62.170.226/foto/M0006237.jpg
0238/D,,pittore piemontese,XV,La danza dei folli,tempera su tavola,http://93.62.170.226/foto/M0006238.jpg
0247/D,,arte genovese,XVII,Madonna del Rosario col Bambino e angeli / Santa monaca / San Giovanni Battista,olio su tela,http://93.62.170.226/foto/M0006247.jpg
0249/D,,pittore piemontese,XVII,Principe Maurizio di Savoia,olio su tela,http://93.62.170.226/foto/M0006249.jpg
0250/D,,pittore ignoto,ca. 1680 - ca. 1680,Vittorio Amedeo II,olio su tela,http://93.62.170.226/foto/M0006250.jpg
0251/D,,pittore olandese,XVII,vecchio che si scalda le mani presso braciere,olio su tela,http://93.62.170.226/foto/M0006251.jpg
0258/D,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: un guerriero in trono - circondato da soldati - ascolta una fanciulla prigioniera,olio su tela,http://93.62.170.226/foto/M0006258.jpg
0259/D,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: Rinaldo e Armida - abbracciati - in riva a ruscello,olio su tela,http://93.62.170.226/foto/M0006259.jpg
0260/D,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: soldati assistono un guerriero,olio su tela,http://93.62.170.226/foto/M0006260.jpg
0260/D-I,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: Erminia nel bosco tra i pastori,olio su tela,http://93.62.170.226/foto/M0006261.jpg
0260/D-II,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: Armida a cavallo fra due guerrieri,olio su tela,http://93.62.170.226/foto/M0006262.jpg
0260/D-III,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: Clorinda armata,olio su tela,http://93.62.170.226/foto/M0006263.jpg
0260/D-IV,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: due guerrieri sostano presso un albero - accanto tre fanciulle,olio su tela,http://93.62.170.226/foto/M0006264.jpg
0260/D-V,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: un guerriero - due fanciulle danzanti - una terza suona la mandola,olio su tela,http://93.62.170.226/foto/M0006265A.jpg
0260/D-VI,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: due guerrieri a cavallo duellano con due pagani,olio su tela,http://93.62.170.226/foto/M0006266.jpg
0260/D-VII,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: guerriero raduna due gruppi di soldati davanti ad una tenda nel bosco,olio su tela,http://93.62.170.226/foto/M0006267.jpg
0260/D-VIII,,maniera di Giovanni Domenico Molinari,XVIII,Gerusalemme Liberata: tre guerrieri vedono comparire in cielo Ismeno e Solimano,olio su tela,http://93.62.170.226/foto/M0006268A.jpg
0261/D,,maniera di Michele Antonio Rapous,XVIII,grande vaso liscio su basso gradino / mazzo di fiori,olio su tela,http://93.62.170.226/foto/M0006269.jpg
0262/D,,maniera di Michele Antonio Rapous,XVIII,plinto con vaso - con mazzo di fiori,olio su tela,http://93.62.170.226/foto/M0006270.jpg
0263/D,,maniera di Michele Antonio Rapous,XVIII,plinto / vaso / mazzo di fiori / bacile con fiori e pesche,olio su tela,http://93.62.170.226/foto/M0006271.jpg
0264/D,,maniera di Michele Antonio Rapous,XVIII,plinto con vaso - con mazzo di fiori,olio su tela,http://93.62.170.226/foto/M0006272.jpg
0265/D,,maniera di Michele Antonio Rapous,XVIII,plinto con vaso - con mazzo di fiori,olio su tela,http://93.62.170.226/foto/M0006273.jpg
0275/D,,pittore piemontese,XVIII,allegoria a Carlo Emanuele III in trono,olio su tela,http://93.62.170.226/foto/M0006283.jpg
0279/D,,pittore piemontese,ca. 1490 - ca. 1490,Assunzione della Vergine,tempera su tela,http://93.62.170.226/foto/M0006287.jpg
0297/D,,pittore ignoto,XVIII,ritratto di dama,olio su tela,http://93.62.170.226/foto/M0006305.jpg
0410/C,,Nyon,XVIII,,porcellana,http://93.62.170.226/foto/M0006418.jpg
0426/C,,fabbrica Delvecchio - Napoli,XIX,ninfa,porcellana,http://93.62.170.226/foto/M0006434.jpg
0435/C,,manifattura Dossena-Loretz - Lodi,XIX,,maiolica,http://93.62.170.226/foto/M0006443.jpg
0436/C,,manifattura Dossena-Loretz - Lodi,XIX,,maiolica,http://93.62.170.226/foto/M0006444.jpg
0460/C,,Olanda,XVII,paesaggio con figure,maiolica,http://93.62.170.226/foto/M0006469.jpg
0461/C,,manifattura ignota,XV,,terracotta smaltata,http://93.62.170.226/foto/M0006470.jpg
0461/C,,plasticatore piemontese,XV,,terracotta smaltata,http://93.62.170.226/foto/M0006470.jpg
0464/C,,arte italiana,XVI,Madonna col Bambino,maiolica - legno,http://93.62.170.226/foto/M0006473.jpg
0467/C,,plasticatore piemontese,XV,stemma,terracotta,http://93.62.170.226/foto/M0006476.jpg
0468/C,,fabbrica piemontese,XVIII,,terraglia,http://93.62.170.226/foto/M0006477.jpg
0473/C,,manifattura ignota,XVIII,,terraglia,http://93.62.170.226/foto/M0006482.jpg
0482/C,,manifattura Ferniani - Faenza,XVIII,,maiolica,http://93.62.170.226/foto/M0006491.jpg
0519/C,,manifattura turca,XVII,,ceramica invetriata,http://93.62.170.226/foto/M0006528.jpg
0520/C,,fabbrica persiana,XIX,figura femminile,ceramica invetriata,http://93.62.170.226/foto/M0006529.jpg
0527/C,,Cina,1662 - 1722,,porcellana,http://93.62.170.226/foto/M0006536.jpg
0527/C,,Era Kangxi (1662-1722),1662 - 1722,,porcellana,http://93.62.170.226/foto/M0006536.jpg
0537/C,,Cina,1573 - 1619,,porcellana,http://93.62.170.226/foto/M0006546.jpg
0537/C,,dinastia Ming,1573 - 1619,,porcellana,http://93.62.170.226/foto/M0006546.jpg
0546/C,,dinastia Qing (1644-1911),XIX/XX,pesce,porcellana,http://93.62.170.226/foto/M0006555.jpg
0547/C,,Cina,XVI,figura di drago,porcellana,http://93.62.170.226/foto/M0006556.jpg
0547/C,,dinastia Ming,XVI,figura di drago,porcellana,http://93.62.170.226/foto/M0006556.jpg
0548/C,,Cina,1573 - 1619,uccello e piante di fiori,porcellana,http://93.62.170.226/foto/M0006557.jpg
0548/C,,dinastia Ming,1573 - 1619,uccello e piante di fiori,porcellana,http://93.62.170.226/foto/M0006557.jpg
0549/C,,manifattura di Savona,XIX,,maiolica,http://93.62.170.226/foto/M0006558A.jpg
0550/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006559.jpg
0550/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006559.jpg
0551/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006560.jpg
0551/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006560.jpg
0552/C,Bettisi Leonardo,Manifattura Don Pino di Faenza,XVI,stemma sorretto da due putti,maiolica,http://93.62.170.226/foto/M0006561.jpg
0553/C,,fabbrica di Urbino,XVI,divinità marine,maiolica,http://93.62.170.226/foto/M0006562.jpg
0554/C,,Cina,XIX,Budda,porcellana,http://93.62.170.226/foto/M0006563A.jpg
0554/C,,dinastia Qing (1644-1911),XIX,Budda,porcellana,http://93.62.170.226/foto/M0006563A.jpg
0555/C,,Cina,XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006564A.jpg
0555/C,,dinastia Qing (1644-1911),XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006564A.jpg
0555/C,,tipo siamese,XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006564A.jpg
0556/C,,Cina,XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006565A.jpg
0556/C,,dinastia Qing (1644-1911),XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006565A.jpg
0556/C,,tipo siamese,XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006565A.jpg
0557/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006566.jpg
0557/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006566.jpg
0558/C,,Cina,XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006567.jpg
0558/C,,dinastia Qing (1644-1911),XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006567.jpg
0559/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006568.jpg
0559/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006568.jpg
0560/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006569A.jpg
0560/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006569A.jpg
0561/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006570.jpg
0561/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006570.jpg
0562/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006571.jpg
0562/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006571.jpg
0563/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006572.jpg
0563/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006572.jpg
0564/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006573.jpg
0564/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006573.jpg
0565/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006574.jpg
0565/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006574.jpg
0566/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006575.jpg
0566/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006575.jpg
0567/C,,dinastia Qing (1644-1911),XIX/XX,,porcellana,http://93.62.170.226/foto/M0006576.jpg
0568/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006577.jpg
0568/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006577.jpg
0569/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006578.jpg
0569/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006578.jpg
0570/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006579.jpg
0570/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006579.jpg
0571/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006580.jpg
0571/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006580.jpg
0572/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006581.jpg
0572/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006581.jpg
0573/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006582.jpg
0573/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006582.jpg
0574/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006583.jpg
0574/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006583.jpg
0578/C,,Cina,XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006587.jpg
0578/C,,dinastia Qing (1644-1911),XIX,figure di Budda,porcellana,http://93.62.170.226/foto/M0006587.jpg
0579/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006588.jpg
0579/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006588.jpg
0580/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006589.jpg
0580/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006589.jpg
0581/C,,Cina,XIX,tre anziani cinesi,porcellana,http://93.62.170.226/foto/M0006590.jpg
0581/C,,dinastia Qing (1644-1911),XIX,tre anziani cinesi,porcellana,http://93.62.170.226/foto/M0006590.jpg
0582/C,,Cina,XIX,draghi / mostri / paesaggi,porcellana,http://93.62.170.226/foto/M0006591A.jpg
0582/C,,dinastia Qing (1644-1911),XIX,draghi / mostri / paesaggi,porcellana,http://93.62.170.226/foto/M0006591A.jpg
0583/C,,Cina,XIX,figure fantastiche,porcellana,http://93.62.170.226/foto/M0006592.jpg
0583/C,,dinastia Qing (1644-1911),XIX,figure fantastiche,porcellana,http://93.62.170.226/foto/M0006592.jpg
0584/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006593.jpg
0584/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006593.jpg
0585/C,,Cina,XIX,paesaggio,porcellana,http://93.62.170.226/foto/M0006594A.jpg
0585/C,,dinastia Qing (1644-1911),XIX,paesaggio,porcellana,http://93.62.170.226/foto/M0006594A.jpg
0586/C,,Cina,XIX,paesaggio,porcellana,http://93.62.170.226/foto/M0006595A.jpg
0586/C,,dinastia Qing (1644-1911),XIX,paesaggio,porcellana,http://93.62.170.226/foto/M0006595A.jpg
0587/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006596.jpg
0587/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006596.jpg
0588/C,,arte giapponese,1868 - 1912,,porcellana,http://93.62.170.226/foto/M0006597A.jpg
0588/C,,Era Meiji (1867-1912),1868 - 1912,,porcellana,http://93.62.170.226/foto/M0006597A.jpg
0589/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006598.jpg
0589/C,,dinastia Qing (1644-1911),XIX,,porcellana,http://93.62.170.226/foto/M0006598.jpg
0590/C,,Cina,XIX,,porcellana,http://93.62.170.226/foto/M0006599.jpg
